,order_number,product_name,quantity,price,payment_mode,store_name,city,country,year,order_date,month_name,day_name,revenue,unit_price
17,101088,Harley-Davidson Street 750,41,7000,Credit card,FOOTHILLS HARLEY-DAVIDSON,Stavern,Norway,2001,2001-10-15,October,Monday,287000,170.73170731707316
18,101089,Harley-Davidson Street 750,46,7000,Credit card,CAPITAL HARLEY-DAVIDSON,Allentown,USA,2001,2001-11-02,November,Friday,322000,152.17391304347825
19,101090,Harley-Davidson Street 750,42,7000,NetBanking,MALABAR HARLEY-DAVIDSON,NYC,USA,2001,2001-11-15,November,Thursday,294000,166.66666666666666
20,101091,Harley-Davidson Street 750,41,7000,NetBanking,THE WESTERN GHATS HARLEY-DAVIDSON,Salzburg,Austria,2001,2001-11-16,November,Friday,287000,170.73170731707316
21,101092,Harley-Davidson Street 750,20,7000,NetBanking,EPICENTER HARLEY-DAVIDSON,Chatswood,Australia,2001,2001-11-17,November,Saturday,140000,350.0
22,101093,Harley-Davidson Street 750,21,7000,Credit card,DIAMOND CITY HARLEY-DAVIDSON,Nantes,France,2001,2001-11-18,November,Sunday,147000,333.3333333333333
23,101094,Harley-Davidson Street 750,42,7000,NetBanking,TUSKER HARLEY-DAVIDSON INDIRA NAGAR,New Bedford,USA,2001,2001-11-19,November,Monday,294000,166.66666666666666
24,101095,Harley-Davidson Street 750,24,7000,NetBanking,UNITED HARLEY-DAVIDSON,Liverpool,UK,2001,2001-11-20,November,Tuesday,168000,291.6666666666667
25,101096,Harley-Davidson Street 750,66,7000,Credit card,WINECITY HARLEY-DAVIDSON,Madrid,Spain,2001,2001-11-21,November,Wednesday,462000,106.06060606060606
26,101097,Harley-Davidson Street 750,26,7000,Cash,WILD CATS HARLEY-DAVIDSON,Stavern,Norway,2001,2001-11-22,November,Thursday,182000,269.2307692307692
27,101098,Harley-Davidson Street 750,29,7000,Credit card,HIMALAYAN HARLEY-DAVIDSON,Lule,Sweden,2001,2001-11-23,November,Friday,203000,241.3793103448276
28,101099,Harley-Davidson Street 750,38,7000,Cash,BENGAL HARLEY-DAVIDSON,Madrid,Spain,2002,2002-05-28,May,Tuesday,266000,184.21052631578948
29,101100,Harley-Davidson Street 750,37,7000,Cash,NINE BRIDGES HARLEY-DAVIDSON,Burlingame,USA,2002,2002-07-24,July,Wednesday,259000,189.1891891891892
30,101101,Harley-Davidson Street 750,45,7000,Credit card,WARRIOR HARLEY-DAVIDSON,Singapore,Singapore,2002,2002-09-19,September,Thursday,315000,155.55555555555554
31,101102,Harley-Davidson Street 750,21,7000,Cash,T TOWN HARLEY-DAVIDSON,NYC,USA,2002,2002-10-20,October,Sunday,147000,333.3333333333333
32,101103,Harley-Davidson Street 750,34,7000,Cash,WARHAWK HARLEY-DAVIDSON,South Brisbane,Australia,2002,2002-11-06,November,Wednesday,238000,205.88235294117646
33,101104,Harley-Davidson Street 750,23,7000,Credit card,OAKLAND HARLEY-DAVIDSON,Philadelphia,USA,2002,2002-11-13,November,Wednesday,161000,304.3478260869565
34,101105,Harley-Davidson Street 750,42,7000,NetBanking,EAGLE ROCK HARLEY-DAVIDSON,Lyon,France,2002,2002-11-25,November,Monday,294000,166.66666666666666
35,101106,Harley-Davidson Street 750,47,7000,NetBanking,CYCLE CENTER HARLEY-DAVIDSON,Vancouver,Canada,2002,2002-12-05,December,Thursday,329000,148.93617021276594
36,101107,Harley-Davidson Street 750,35,7000,NetBanking,SCHAEFFER'S HARLEY-DAVIDSON,Burbank,USA,2002,2002-01-29,January,Tuesday,245000,200.0
37,101108,Harley-Davidson Street 750,29,7000,NetBanking,COPPER CANYON HARLEY-DAVIDSON,Cambridge,USA,2002,2002-03-10,March,Sunday,203000,241.3793103448276
38,101109,Harley-Davidson Street 750,34,7000,NetBanking,IRON STEED HARLEY-DAVIDSON,New Haven,USA,2002,2002-05-04,May,Saturday,238000,205.88235294117646
39,101110,Harley-Davidson Street 750,32,7000,Cash,ADAMEC HARLEY-DAVIDSON SHOP AT REGENCY,Minato-ku,Japan,2002,2002-06-15,June,Saturday,224000,218.75
40,101111,Harley-Davidson Street 750,21,7000,NetBanking,MOUNTAIN CREEK HARLEY-DAVIDSON,Chatswood,Australia,2002,2002-07-19,July,Friday,147000,333.3333333333333
41,101112,Harley-Davidson Street 750,34,7000,Cash,SAN FRANCISCO HARLEY-DAVIDSON,Torino,Italy,2002,2002-08-17,August,Saturday,238000,205.88235294117646
42,101113,Harley-Davidson Street 750,37,7000,Cash,TILLEY HARLEY-DAVIDSON,Boras,Sweden,2002,2002-09-08,September,Sunday,259000,189.1891891891892
43,101114,Harley-Davidson Street 750,47,7000,Cash,SMOKY MOUNTAIN HARLEY-DAVIDSON,Versailles,France,2002,2002-10-11,October,Friday,329000,148.93617021276594
44,101115,Harley-Davidson Street 750,48,7000,Cash,GRAND TETON HARLEY-DAVIDSON,San Rafael,USA,2003,2003-10-21,October,Tuesday,336000,145.83333333333334
45,101116,Harley-Davidson Street 750,40,7000,Cash,MILE HIGH HARLEY-DAVIDSON OF PARKER,Nashua,USA,2003,2003-11-04,November,Tuesday,280000,175.0
46,101117,Harley-Davidson Street 750,26,7000,Credit card,JACKSON HOLE HARLEY-DAVIDSON,San Francisco,USA,2004,2004-11-18,November,Thursday,182000,269.2307692307692
47,101118,Harley-Davidson Street 750,30,7000,NetBanking,JAVELINA HARLEY-DAVIDSON,Melbourne,Australia,2004,2004-11-29,November,Monday,210000,233.33333333333334
48,101119,Harley-Davidson Street 750,32,7000,Credit card,BARTELS HARLEY-DAVIDSON,San Rafael,USA,2004,2004-12-10,December,Friday,224000,218.75
49,101120,Harley-Davidson Street 750,41,7000,NetBanking,STAMPEDE HARLEY-DAVIDSON,Brickhaven,USA,2005,2005-01-20,January,Thursday,287000,170.73170731707316
50,101121,Harley-Davidson Street 750,36,7000,Cash,ROCKY TOP HARLEY-DAVIDSON,San Francisco,USA,2005,2005-02-17,February,Thursday,252000,194.44444444444446
51,101122,Harley-Davidson Street 750,24,7000,Cash,MILE HIGH HARLEY-DAVIDSON,North Sydney,Australia,2005,2005-03-09,March,Wednesday,168000,291.6666666666667
52,101123,Harley-Davidson Street 750,23,7000,NetBanking,FINGER LAKES HARLEY-DAVIDSON,Montreal,Canada,2005,2005-05-01,May,Sunday,161000,304.3478260869565
53,101124,Harley-Davidson Street 750,50,7000,Credit card,STINGER HARLEY-DAVIDSON,Madrid,Spain,2005,2005-05-31,May,Tuesday,350000,140.0
54,101125,Harley-Davidson Street 750,39,7000,NetBanking,ADAMEC HARLEY-DAVIDSON OF ST. AUGUSTINE,NYC,USA,2003,2003-02-24,February,Monday,273000,179.48717948717947
55,101126,Harley-Davidson Street 750,29,7000,Cash,CLASSIC HARLEY-DAVIDSON,Melbourne,Australia,2003,2003-04-29,April,Tuesday,203000,241.3793103448276
56,101127,Harley-Davidson Street 750,27,7000,Cash,CAROLINA COAST HARLEY-DAVIDSON,Paris,France,2003,2003-07-01,July,Tuesday,189000,259.25925925925924
57,101128,Harley-Davidson Street 750,37,7000,NetBanking,MONTY'S HARLEY-DAVIDSON,Pasadena,USA,2003,2003-08-25,August,Monday,259000,189.1891891891892
58,101129,Harley-Davidson Street 750,37,7000,Cash,WINDY CITY HARLEY-DAVIDSON,San Francisco,USA,2003,2003-10-10,October,Friday,259000,189.1891891891892
59,101130,Harley-Davidson Street 750,27,7000,Cash,EMERALD COAST HARLEY-DAVIDSON,Burlingame,USA,2003,2003-10-28,October,Tuesday,189000,259.25925925925924
60,101131,Harley-Davidson Street 750,42,7000,Credit card,HONOLULU HARLEY-DAVIDSON,Lille,France,2003,2003-11-11,November,Tuesday,294000,166.66666666666666
61,101132,Harley-Davidson Street 750,38,7000,NetBanking,WAIKIKI HARLEY-DAVIDSON,Bergen,Norway,2003,2003-11-18,November,Tuesday,266000,184.21052631578948
62,101133,Harley-Davidson Street 750,24,7000,NetBanking,HUB CITY HARLEY-DAVIDSON,San Francisco,USA,2003,2003-12-01,December,Monday,168000,291.6666666666667
63,101134,Harley-Davidson Street 750,23,7000,Credit card,OPEN ROAD HARLEY-DAVIDSON,Osaka,Japan,2004,2004-01-12,January,Monday,161000,304.3478260869565
64,101135,Harley-Davidson Street 750,47,7000,Cash,HARLEY-DAVIDSON SHOP OF ROCHESTER,Melbourne,Australia,2004,2004-02-20,February,Friday,329000,148.93617021276594
65,101136,Harley-Davidson Street 750,22,7000,Cash,MIKE BRUNO'S NORTHSHORE HARLEY-DAVIDSON,Philadelphia,USA,2004,2004-04-03,April,Saturday,154000,318.1818181818182
66,101137,Harley-Davidson Street 750,44,7000,NetBanking,HARLEY-DAVIDSON OF SOUTHAMPTON,Newark,USA,2004,2004-05-18,May,Tuesday,308000,159.0909090909091
67,101138,Harley-Davidson Street 750,40,7000,NetBanking,S & P HARLEY-DAVIDSON,Bridgewater,USA,2004,2004-06-28,June,Monday,280000,175.0
68,101139,Harley-Davidson Street 750,22,7000,Cash,BONEYARD HARLEY-DAVIDSON,Nantes,France,2004,2004-07-23,July,Friday,154000,318.1818181818182
69,101140,Harley-Davidson Street 750,47,7000,Cash,CALIFORNIA HARLEY-DAVIDSON,Cambridge,USA,2004,2004-08-27,August,Friday,329000,148.93617021276594
70,101141,Harley-Davidson Street 750,39,7000,Credit card,HERITAGE HARLEY-DAVIDSON,Nantes,France,2004,2004-09-27,September,Monday,273000,179.48717948717947
71,101142,Harley-Davidson Street 750,34,7000,Cash,ANDY'S HARLEY-DAVIDSON,White Plains,USA,2004,2004-10-15,October,Friday,238000,205.88235294117646
72,101143,Harley-Davidson Street 750,45,7000,NetBanking,CHICAGO HARLEY-DAVIDSON OF WRIGLEYVILLE,Allentown,USA,2004,2004-11-02,November,Tuesday,315000,155.55555555555554
73,101144,Harley-Davidson Street 750,20,7000,Cash,CITY LIMITS HARLEY-DAVIDSON,NYC,USA,2004,2004-11-15,November,Monday,140000,350.0
74,101145,Harley-Davidson Street 750,40,7000,NetBanking,FALCONS FURY HARLEY-DAVIDSON,Minato-ku,Japan,2004,2004-11-23,November,Tuesday,280000,175.0
75,101146,Harley-Davidson Street 750,26,7000,Credit card,NORTH CASCADES HARLEY-DAVIDSON,Chatswood,Australia,2004,2004-12-17,December,Friday,182000,269.2307692307692
76,101147,Harley-Davidson Street 750,39,7000,Credit card,WILLAMETTE VALLEY HARLEY-DAVIDSON,South Brisbane,Australia,2005,2005-02-02,February,Wednesday,273000,179.48717948717947
77,101148,Harley-Davidson Street 750,50,7000,Credit card,MATHEWS HARLEY-DAVIDSON,New Bedford,USA,2005,2005-03-03,March,Thursday,350000,140.0
78,101149,Harley-Davidson Street 750,45,7000,NetBanking,"ROCHESTER HARLEY-DAVIDSON, INC.",Paris,France,2005,2005-04-07,April,Thursday,315000,155.55555555555554
79,101150,Harley-Davidson Street 750,45,7000,Cash,CYCLE CITY HARLEY-DAVIDSON,Madrid,Spain,2005,2005-05-13,May,Friday,315000,155.55555555555554
80,101151,Harley-Davidson Street 750,27,7000,Credit card,APOL'S HARLEY-DAVIDSON,NYC,USA,2003,2003-02-24,February,Monday,189000,259.25925925925924
81,101152,Harley-Davidson Street 750,46,7000,NetBanking,SPITZIE'S HARLEY-DAVIDSON OF ALBANY,Melbourne,Australia,2003,2003-04-29,April,Tuesday,322000,152.17391304347825
82,101153,Harley-Davidson Street 750,31,7000,NetBanking,PRECISION HARLEY-DAVIDSON,Paris,France,2003,2003-07-01,July,Tuesday,217000,225.80645161290323
83,101154,Harley-Davidson Street 750,33,7000,Credit card,SOUTHERN THUNDER HARLEY-DAVIDSON,Pasadena,USA,2003,2003-08-25,August,Monday,231000,212.12121212121212
84,101155,Harley-Davidson Street 750,22,7000,Cash,RENO HARLEY-DAVIDSON,San Francisco,USA,2003,2003-10-10,October,Friday,154000,318.1818181818182
85,101156,Harley-Davidson Street 750,20,7000,NetBanking,OLD PUEBLO HARLEY-DAVIDSON,Burlingame,USA,2003,2003-10-28,October,Tuesday,140000,350.0
86,101157,Harley-Davidson Street 750,41,7000,Cash,ARSENAL HARLEY-DAVIDSON,Lille,France,2003,2003-11-11,November,Tuesday,287000,170.73170731707316
87,101158,Harley-Davidson Street 750,45,7000,Credit card,HARLEY-DAVIDSON OF FRESNO,Bergen,Norway,2003,2003-11-18,November,Tuesday,315000,155.55555555555554
88,101159,Harley-Davidson Street 750,49,7000,Cash,MOONSHINE HARLEY-DAVIDSON,San Francisco,USA,2003,2003-12-01,December,Monday,343000,142.85714285714286
89,101160,Harley-Davidson Street 750,34,7000,Cash,MT. CHEAHA HARLEY-DAVIDSON,Osaka,Japan,2004,2004-01-12,January,Monday,238000,205.88235294117646
90,101161,Harley-Davidson Street 750,49,7000,Cash,AMERICAN EAGLE HARLEY-DAVIDSON,Melbourne,Australia,2004,2004-02-20,February,Friday,343000,142.85714285714286
91,101162,Harley-Davidson Street 750,39,7000,NetBanking,RIDING HIGH HARLEY-DAVIDSON,NYC,USA,2004,2004-04-05,April,Monday,273000,179.48717948717947
92,101163,Harley-Davidson Street 750,43,7000,NetBanking,"HAMPTON ROADS HARLEY-DAVIDSON, INC.",Newark,USA,2004,2004-05-18,May,Tuesday,301000,162.7906976744186
93,101164,Harley-Davidson Street 750,41,7000,Credit card,HORSEPOWER HARLEY-DAVIDSON,Bridgewater,USA,2004,2004-06-28,June,Monday,287000,170.73170731707316
94,101165,Harley-Davidson Street 750,36,7000,Credit card,THREE RIVERS HARLEY-DAVIDSON,Nantes,France,2004,2004-07-23,July,Friday,252000,194.44444444444446
95,101166,Harley-Davidson Street 750,27,7000,NetBanking,SHELTON'S HARLEY-DAVIDSON,Cambridge,USA,2004,2004-08-27,August,Friday,189000,259.25925925925924
96,101167,Harley-Davidson Street 750,29,7000,NetBanking,ROUTE 66 HARLEY-DAVIDSON,Helsinki,Finland,2004,2004-09-30,September,Thursday,203000,241.3793103448276
97,101168,Harley-Davidson Street 750,20,7000,Cash,LAWLESS HARLEY-DAVIDSON OF SCOTT CITY,White Plains,USA,2004,2004-10-15,October,Friday,140000,350.0
98,101169,Harley-Davidson Street 750,37,7000,NetBanking,SONOMA COUNTY HARLEY-DAVIDSON,Allentown,USA,2004,2004-11-02,November,Tuesday,259000,189.1891891891892
99,101170,Harley-Davidson Street 750,26,7000,Cash,HARLEY-DAVIDSON AMIENS,NYC,USA,2004,2004-11-15,November,Monday,182000,269.2307692307692
100,101171,Harley-Davidson Street 750,39,7000,Cash,HARLEY-DAVIDSON LA ROCHE-SUR-YON,Minato-ku,Japan,2004,2004-11-23,November,Tuesday,273000,179.48717948717947
101,101172,Harley-Davidson Street 750,22,7000,Cash,HARLEY-DAVIDSON ORLÉANS,Burlingame,USA,2004,2004-01-05,January,Monday,154000,318.1818181818182
102,101173,Harley-Davidson Street 750,22,7000,Cash,HARLEY-DAVIDSON PARIS ETOILE,South Brisbane,Australia,2004,2004-02-02,February,Monday,154000,318.1818181818182
103,101174,Harley-Davidson Street 750,21,7000,Cash,HARLEY-DAVIDSON LA ROCHELLE,New Bedford,USA,2004,2004-03-03,March,Wednesday,147000,333.3333333333333
104,101175,Harley-Davidson Street 750,66,7000,Cash,HARLEY-DAVIDSON BORIE,Liverpool,UK,2004,2004-04-08,April,Thursday,462000,106.06060606060606
105,101176,Harley-Davidson Street 750,56,7000,NetBanking,HARLEY-DAVIDSON CHARTRES,Madrid,Spain,2004,2004-05-13,May,Thursday,392000,125.0
106,101177,Harley-Davidson Roadster,50,10000,Credit card,HARLEY-DAVIDSON AJACCIO,Kobenhavn,Denmark,2003,2003-02-11,February,Tuesday,500000,200.0
107,101178,Harley-Davidson Roadster,46,10000,Cash,H-D & BUELL PORTES DE BRETAGNE,Salzburg,Austria,2003,2003-04-28,April,Monday,460000,217.3913043478261
108,101179,Harley-Davidson Roadster,33,10000,Cash,HARLEY-DAVIDSON PARIS RIVE GAUCHE,London,UK,2003,2003-06-12,June,Thursday,330000,303.030303030303
109,101180,Harley-Davidson Roadster,49,10000,Cash,ACCESS DREAM,New Bedford,USA,2003,2003-08-10,August,Sunday,490000,204.08163265306123
110,101181,Harley-Davidson Roadster,32,10000,NetBanking,HARLEY-DAVIDSON BORDEAUX,Helsinki,Finland,2003,2003-10-06,October,Monday,320000,312.5
111,101182,Harley-Davidson Roadster,44,10000,Credit card,HARLEY-DAVIDSON AUVERGNE,Boras,Sweden,2003,2003-10-23,October,Thursday,440000,227.27272727272728
112,101183,Harley-Davidson Roadster,24,10000,Cash,AMERICAN MOTOS,Toulouse,France,2003,2003-11-08,November,Saturday,240000,416.6666666666667
113,101184,Harley-Davidson Roadster,26,10000,NetBanking,MILWAUKEE TWIN,London,UK,2003,2003-11-14,November,Friday,260000,384.61538461538464
114,101185,Harley-Davidson Roadster,45,10000,Credit card,HARLEY-DAVIDSON PARIS BASTILLE,Barcelona,Spain,2003,2003-11-26,November,Wednesday,450000,222.22222222222223
115,101186,Harley-Davidson Roadster,39,10000,Credit card,HARLEY-DAVIDSON TROYES,Los Angeles,USA,2004,2004-01-09,January,Friday,390000,256.4102564102564
116,101187,Harley-Davidson Roadster,49,10000,NetBanking,HARLEY-DAVIDSON REIMS,San Diego,USA,2004,2004-02-19,February,Thursday,490000,204.08163265306123
117,101188,Harley-Davidson Roadster,20,10000,NetBanking,HARLEY-DAVIDSON AVIGNON,NYC,USA,2004,2004-05-07,May,Friday,200000,500.0
118,101189,Harley-Davidson Roadster,27,10000,NetBanking,LEGENDE 76,Montreal,Canada,2004,2004-06-17,June,Thursday,270000,370.3703703703704
119,101190,Harley-Davidson Roadster,30,10000,NetBanking,HARLEY-DAVIDSON TOULON,Bruxelles,Belgium,2004,2004-07-21,July,Wednesday,300000,333.3333333333333
120,101191,Harley-Davidson Roadster,25,10000,Credit card,HARLEY-DAVIDSON CAEN,Tsawassen,Canada,2004,2004-08-20,August,Friday,250000,400.0
121,101192,Harley-Davidson Roadster,24,10000,Credit card,HARLEY-DAVIDSON GRAND LYON,Boston,USA,2004,2004-09-10,September,Friday,240000,416.6666666666667
122,101193,Harley-Davidson Roadster,22,10000,Credit card,HARLEY-DAVIDSON LIMOGES,Philadelphia,USA,2004,2004-10-14,October,Thursday,220000,454.54545454545456
123,101194,Harley-Davidson Roadster,33,10000,Credit card,HARLEY-DAVIDSON 66 PERPIGNAN,Cowes,UK,2004,2004-11-01,November,Monday,330000,303.030303030303
124,101195,Harley-Davidson Roadster,47,10000,NetBanking,HARLEY-DAVIDSON COTE D OPALE,Stavern,Norway,2004,2004-11-05,November,Friday,470000,212.7659574468085
125,101196,Harley-Davidson Roadster,25,10000,Credit card,HARLEY-DAVIDSON NANTES,NYC,USA,2004,2004-11-21,November,Sunday,250000,400.0
126,101197,Harley-Davidson Roadster,26,10000,Cash,HARLEY-DAVIDSON GOLFE DE BRETAGNE,Madrid,Spain,2004,2004-12-02,December,Thursday,260000,384.61538461538464
127,101198,Harley-Davidson Roadster,48,10000,Credit card,HARLEY-DAVIDSON V-ATTITUDE,Reims,France,2004,2004-12-15,December,Wednesday,480000,208.33333333333334
128,101199,Harley-Davidson Roadster,39,10000,NetBanking,PRESTIGE MOTORCYCLES,Oulu,Finland,2005,2005-01-31,January,Monday,390000,256.4102564102564
129,101200,Harley-Davidson Roadster,34,10000,NetBanking,HARLEY-DAVIDSON GRAND LYON SUD,San Francisco,USA,2005,2005-02-23,February,Wednesday,340000,294.11764705882354
130,101201,Harley-Davidson Roadster,32,10000,Cash,HARLEY-DAVIDSON AGEN,Paris,France,2005,2005-03-17,March,Thursday,320000,312.5
131,101202,Harley-Davidson Roadster,64,10000,Cash,HARLEY-DAVIDSON VALENCIENNES,San Jose,USA,2005,2005-04-01,April,Friday,640000,156.25
132,101203,Harley-Davidson Roadster,19,10000,Cash,HARLEY-DAVIDSON SAINT ETIENNE,Boston,USA,2005,2005-05-06,May,Friday,190000,526.3157894736842
133,101204,Harley-Davidson Roadster,42,10000,Credit card,H-D VALLEE DE CHEVREUSE,Stavern,Norway,2003,2003-01-29,January,Wednesday,420000,238.0952380952381
134,101205,Harley-Davidson Roadster,31,10000,NetBanking,HARLEY-DAVIDSON SUNROAD,Paris,France,2003,2003-04-01,April,Tuesday,310000,322.5806451612903
135,101206,Harley-Davidson Roadster,22,10000,Cash,HARLEY-DAVIDSON POITIERS,Madrid,Spain,2003,2003-05-28,May,Wednesday,220000,454.54545454545456
136,101207,Harley-Davidson Roadster,26,10000,Credit card,HARLEY-DAVIDSON FACTORY,Burlingame,USA,2003,2003-07-24,July,Thursday,260000,384.61538461538464
137,101208,Harley-Davidson Roadster,20,10000,Cash,HARLEY-DAVIDSON DIJON,Singapore,Singapore,2003,2003-09-19,September,Friday,200000,500.0
138,101209,Harley-Davidson Roadster,21,10000,Cash,HARLEY-DAVIDSON BEZIERS,Graz,Austria,2003,2003-10-21,October,Tuesday,210000,476.1904761904762
139,101210,Harley-Davidson Roadster,33,10000,NetBanking,HARLEY-DAVIDSON LAS PALMAS,London,UK,2003,2003-11-06,November,Thursday,330000,303.030303030303
140,101211,Harley-Davidson Roadster,28,10000,Credit card,CANTABRIA HARLEY-DAVIDSON,Philadelphia,USA,2003,2003-11-13,November,Thursday,280000,357.14285714285717
141,101212,Harley-Davidson Roadster,26,10000,Cash,HARLEY-DAVIDSON SIEBLA-MARBELLA,Lyon,France,2003,2003-11-25,November,Tuesday,260000,384.61538461538464
142,101213,Harley-Davidson Roadster,31,10000,Cash,HARLEY-DAVIDSON CADIZ,Boston,USA,2003,2003-12-09,December,Tuesday,310000,322.5806451612903
143,101214,Harley-Davidson Roadster,48,10000,Credit card,HARLEY-DAVIDSON MALLORCA,Singapore,Singapore,2004,2004-02-04,February,Wednesday,480000,208.33333333333334
144,101215,Harley-Davidson Roadster,50,10000,NetBanking,HARLEY-DAVIDSON VALENCIA,San Rafael,USA,2004,2004-03-11,March,Thursday,500000,200.0
145,101216,Harley-Davidson Roadster,28,10000,Credit card,HARLEY-DAVIDSON ALMERIA,New Haven,USA,2004,2004-05-04,May,Tuesday,280000,357.14285714285717
146,101217,Harley-Davidson Roadster,26,10000,NetBanking,HARLEY-DAVIDSON SEVILLA,Singapore,Singapore,2004,2004-06-15,June,Tuesday,260000,384.61538461538464
147,101218,Harley-Davidson Roadster,32,10000,Credit card,HARLEY-DAVIDSON MADRID SUR,Chatswood,Australia,2004,2004-07-19,July,Monday,320000,312.5
148,101219,Harley-Davidson Roadster,44,10000,Credit card,HARLEY-DAVIDSON GRANADA,Allentown,USA,2004,2004-08-19,August,Thursday,440000,227.27272727272728
149,101220,Harley-Davidson Roadster,30,10000,Credit card,HARLEY-DAVIDSON MURCIA,Boras,Sweden,2004,2004-09-08,September,Wednesday,300000,333.3333333333333
150,101221,Harley-Davidson Roadster,38,10000,Credit card,HARLEY-DAVIDSON BARCELONA,Cambridge,USA,2004,2004-10-13,October,Wednesday,380000,263.1578947368421
151,101222,Harley-Davidson Roadster,40,10000,Credit card,HARLEY-DAVIDSON EXTREMADURA,Vancouver,Canada,2004,2004-10-22,October,Friday,400000,250.0
152,101223,Harley-Davidson Roadster,46,10000,Credit card,LA NAVE HARLEY-DAVIDSON,Nashua,USA,2004,2004-11-04,November,Thursday,460000,217.3913043478261
153,101224,Harley-Davidson Roadster,26,10000,NetBanking,HARLEY-DAVIDSON ESPACIO BCN,Lule,Sweden,2004,2004-11-19,November,Friday,260000,384.61538461538464
154,101225,Harley-Davidson Roadster,27,10000,Cash,HARLEY-DAVIDSON ASTURIAS,Melbourne,Australia,2004,2004-11-29,November,Monday,270000,370.3703703703704
155,101226,Harley-Davidson Roadster,43,10000,Credit card,HARLEY-DAVIDSON BILBAO,San Rafael,USA,2004,2004-12-10,December,Friday,430000,232.5581395348837
156,101227,Harley-Davidson Roadster,35,10000,Cash,HARLEY-DAVIDSON LLEIDA,North Sydney,Australia,2005,2005-01-20,January,Thursday,350000,285.7142857142857
157,101228,Harley-Davidson Roadster,37,10000,NetBanking,HARLEY-DAVIDSON LLEIDA,San Francisco,USA,2005,2005-02-17,February,Thursday,370000,270.27027027027026
158,101229,Harley-Davidson Roadster,37,10000,NetBanking,HARLEY-DAVIDSON MADRID,North Sydney,Australia,2005,2005-03-09,March,Wednesday,370000,270.27027027027026
159,101230,Harley-Davidson Roadster,27,10000,NetBanking,HARLEY-DAVIDSON TARRACO,Montreal,Canada,2005,2005-05-01,May,Sunday,270000,370.3703703703704
160,101231,Harley-Davidson Roadster,38,10000,Credit card,HARLEY-DAVIDSON VIGO,Nantes,France,2005,2005-05-31,May,Tuesday,380000,263.1578947368421
161,101232,Harley-Davidson Roadster,33,10000,Cash,HARLEY-DAVIDSON ALICANTE,Makati City,Philippines,2003,2003-03-03,March,Monday,330000,303.030303030303
